PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
7,C0275626,Struck,C0221423,Illness (finding),https://connect.mayoclinic.org/discussion/heavy-coffee-drinker-and-colon-cancer/,Heavy Coffee Drinker and Colon Cancer,"I was chatting with another colon cancer survivor yesterday. It just struck me odd, he said , he drinks coffee nonstop at least 3 pots a day. I go WOW I used to drink coffee nonstop daily before I got sick. I go that is so odd we both had colon cancer, and both of us were and are heavy coffee drinkers. How many other heavy Coffee Drinkers have been diagnosed with Colon cancer? Curious if this is something that should be researched??? Follow Report"
9,C0263214,Pyotraumatic dermatitis,"C0577573, C0030193","Mass of body region, Pain",https://connect.mayoclinic.org/discussion/reoccurrence-of-colon-cancer/,Reoccurrence of colon cancer,"Was diagnosed with stage 3 colon cancer in May of 2015, had a color resection with no post op problems.did a 6 month regime of chemo. Pet scan in october was free of cancer. In Jan of 2015 ,I completed my chemo. In June of 2016 developed pain in abdomen, new pet scanned showed 3 hot spots, 1 lymph node in groin, mass on the outside of my colon wall, and a area around my belly button. Restarted chem in August of 2016, just had a fresh pet scan done 1 week ago it shows no decrease in size of the cancer but it shows a new lump ode that is involved . I do not understand why a reoccurring cancer is happening, Im not handling this well and the stress on my wire and family is sky rocketing . My doctor idem so vert capable but is lacking in communication. Feel the time is right for a second opinion.why does it seem the colon cancer reoccurs so much. . Follow Report"
15,C0242422,Parkinsonian Disorders,"C0851121, C0011991, C0009806, C0278007","digestive problem, Diarrhea, Constipation, Normal bowel habits",https://connect.mayoclinic.org/discussion/digestive-problems-two-years-after-successful-colon-cancer-surgery/,Digestive problems two years after successful colon cancer surgery....,"Hi! I am new to the group and am happy to be here. I am wondering if anyone has had a similar experience to our situation: My young 77 year old husband had colon cancer in 2013, with successful surgery (he no longer has a colostomy bag which he had while he was in chemo & radiation). He has always had a somewhat sensitive digestive system but it did not interfere with his very active professional life. He has since been diagnosed with FTD- a degenerative brain condition which brought along some Parkinsonian type symptoms which has limited his walking so he sits much of the day. For the past couple of years he has increasingly had daily problems with digestion- most often constipation, the next day diarrhea. As soon as I get it balanced out to normal  solid well formed bowel movements, within a day or so it will be the opposite. I try to be very careful with diet. We eat healthy, mostly organic foods. I give him a bland brat type diet when hes loose, and more roughage when hes constipated. but it seems to be a never ending cycle. Follow Report"
15,C0006111,Brain Diseases,"C0851121, C0011991, C0009806, C0278007","digestive problem, Diarrhea, Constipation, Normal bowel habits",https://connect.mayoclinic.org/discussion/digestive-problems-two-years-after-successful-colon-cancer-surgery/,Digestive problems two years after successful colon cancer surgery....,"Hi! I am new to the group and am happy to be here. I am wondering if anyone has had a similar experience to our situation: My young 77 year old husband had colon cancer in 2013, with successful surgery (he no longer has a colostomy bag which he had while he was in chemo & radiation). He has always had a somewhat sensitive digestive system but it did not interfere with his very active professional life. He has since been diagnosed with FTD- a degenerative brain condition which brought along some Parkinsonian type symptoms which has limited his walking so he sits much of the day. For the past couple of years he has increasingly had daily problems with digestion- most often constipation, the next day diarrhea. As soon as I get it balanced out to normal  solid well formed bowel movements, within a day or so it will be the opposite. I try to be very careful with diet. We eat healthy, mostly organic foods. I give him a bland brat type diet when hes loose, and more roughage when hes constipated. but it seems to be a never ending cycle. Follow Report"
15,C0338451,Frontotemporal dementia,"C0851121, C0011991, C0009806, C0278007","digestive problem, Diarrhea, Constipation, Normal bowel habits",https://connect.mayoclinic.org/discussion/digestive-problems-two-years-after-successful-colon-cancer-surgery/,Digestive problems two years after successful colon cancer surgery....,"Hi! I am new to the group and am happy to be here. I am wondering if anyone has had a similar experience to our situation: My young 77 year old husband had colon cancer in 2013, with successful surgery (he no longer has a colostomy bag which he had while he was in chemo & radiation). He has always had a somewhat sensitive digestive system but it did not interfere with his very active professional life. He has since been diagnosed with FTD- a degenerative brain condition which brought along some Parkinsonian type symptoms which has limited his walking so he sits much of the day. For the past couple of years he has increasingly had daily problems with digestion- most often constipation, the next day diarrhea. As soon as I get it balanced out to normal  solid well formed bowel movements, within a day or so it will be the opposite. I try to be very careful with diet. We eat healthy, mostly organic foods. I give him a bland brat type diet when hes loose, and more roughage when hes constipated. but it seems to be a never ending cycle. Follow Report"
15,C1285162,Degenerative disorder,"C0851121, C0011991, C0009806, C0278007","digestive problem, Diarrhea, Constipation, Normal bowel habits",https://connect.mayoclinic.org/discussion/digestive-problems-two-years-after-successful-colon-cancer-surgery/,Digestive problems two years after successful colon cancer surgery....,"Hi! I am new to the group and am happy to be here. I am wondering if anyone has had a similar experience to our situation: My young 77 year old husband had colon cancer in 2013, with successful surgery (he no longer has a colostomy bag which he had while he was in chemo & radiation). He has always had a somewhat sensitive digestive system but it did not interfere with his very active professional life. He has since been diagnosed with FTD- a degenerative brain condition which brought along some Parkinsonian type symptoms which has limited his walking so he sits much of the day. For the past couple of years he has increasingly had daily problems with digestion- most often constipation, the next day diarrhea. As soon as I get it balanced out to normal  solid well formed bowel movements, within a day or so it will be the opposite. I try to be very careful with diet. We eat healthy, mostly organic foods. I give him a bland brat type diet when hes loose, and more roughage when hes constipated. but it seems to be a never ending cycle. Follow Report"
18,C0020538,Hypertensive disease,"C0577573, C0000737, C0030193, C0683369","Mass of body region, Abdominal Pain, Pain, Clouded consciousness",https://connect.mayoclinic.org/discussion/colonoscopy-report/,Need help understanding my Colonoscopy Report,"Hi, Could anyone help explain the colonoscopy report findings? In the rectum there was a 2.5cm submucosal mass starting at about 10cm from the anal margin. It does not look like a primary rectal adenocarcinoma. The distal terminal ileum is compressed and there is an impression of a mass in the area. I intubated the TI nut it would not distend at all despite air insufflation suggestive of extrinsic compression more than a primary terminal ileal neoplasm. In view of the position a neuroendocrine tumour should be on the differential diagnosis list. The original endoscopy I was told was clear so Im a bit confused. The only symptoms are high blood pressure and abdominal pain along with a lump in the groin which they took a biopsy from. The results of this were showed signet cells and the diagnosis is signet cell cancer of unknown primary. If anyone could shed any light of what this latest colonoscopy indicates I would be grateful. Follow Report"
22,C0038454,Cerebrovascular accident,C0027769,Nervousness,https://connect.mayoclinic.org/discussion/rectal-cancer-help/,Rectal Cancer Help,"My father is 87, was in great health, until 2 months ago when he had a stroke, he was recovering well, then this week they found stage 1 rectal cancer, 6 cm. from the anal passage. The Dr. has scheduled him for surgery this coming Wednesday, to remove the cancer and an ileostomy. 12 years ago he had a double bypass and a valve replacement. How high risk is the surgery, I am very nervous and any thoughts or experience with this would be appreciated. Thank you. Follow Report"
24,C3828416,Radiation Damage,"C0004604, C0030193, C1579931","Back Pain, Pain, Depressed - symptom",https://connect.mayoclinic.org/discussion/chronic-pain-due-to-radiation-damage/,Chronic pain due to radiation damage for colorectal cancer,"I have become hopeless. I had colorectal cancer in 2004 and now have a permanent colostomy. My problem is that i have chronic abdominal and back pain. My dr says the pain is probably from the damage of scarred tissue due to the radiation treatment and the surgery i had to undergo. But probably isnt a real answer and there is no real cure. I have had many tests done to find the problem, but because they see no cancer, they assume it is scarred tissue from the treatments. It has become worse each year. I cant even live my life like i would like. There are days that the pain is so severe that my pain meds dont take care of it and my body reacts by vomitting. Then I have to take a trip to the hospital where they admitt me so give me meds and fluid thru IV. Im miserable and too young to have my life altered in such a way. There are days I want to just give up. Does anyone have this problem or these symptoms? I really dont know what else to do. I was told that a friend of a friend had radiation damage that resulted in parts of her bowel dyingThe Mayo clinic is the only one that found it after going to a few different drs where we live that have told her what they are telling me. Any advice or stories relating to my experience would be much appreciated. Thank you Follow Report"
29,C0004364,Autoimmune Diseases,C0015672,Fatigue,https://connect.mayoclinic.org/discussion/lets-go-walking-join-me-for-a-virtual-walking-support-group/,Lets Go Walking! Join me for a virtual walking support group,"Many of you living with cancer or an autoimmune disease, like me, deal with daily fatigue. You know that exercise is so important to your health, but its so hard. Theres always an excuse: its too cold or hot, its going to rain or its raining, or its snowy and icy, or I just dont want to. I, too, have all these excuses, but I have a new rescue dog who wants to go out and who doesnt care about my excuses! And Ive got traction devices for my boots. Now I just need a walking group who will keep me accountable. People who say, lets go for a walk. And I thought: What about my virtual friends on MayoClinicConnect? And Mayo Clinic has an easy 12-week walking program to get us started! Heres the link: Get walking with this 12-week walking schedule So lets form a virtual walking group. We can agree to walk every day and encourage each other through Connect. We can walk outdoors, in a mall, or in the red center, or in the hallways of our apartment building. Whos in? Whos going to join me? Come on, Lets Go Walking! Liked by jah67, NiceHat, John, Volunteer Mentor, Teresa, Volunteer Mentor ... see all Follow Report"
