PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
7,C0002170,Alopecia,C0015672,Fatigue,https://connect.mayoclinic.org/discussion/symptoms-after-quitting-arimidex/,Symptoms after quitting arimidex,"Stopped taking arimedex several months ago but some symptoms persist: Fatigue, hair thinning, profuse sweating. When are the effects of Arimidex finally gone? Liked by gramma123 Follow Report"
15,C3854222,Human immunodeficiency virus (HIV) II infection category B1,C0857177,arthritic pains,https://connect.mayoclinic.org/discussion/carbon-60/,Carbon 60,"Anyone here researched or taking C60? Heres some info I was sent about it: Benefits of Carbon 60 according to scientific research: C60 is the worlds most efficient known free radical scavenger and shows potentially therapeutic properties in treating arthritic pain, cancer, human immunodeficiency virus (HIV), and neurodegenerative disorders like Dementia, Parkinsons and Alzheimers. Follow Report"
23,C0002170,Alopecia,"C0234238, C0600142, C0030193","Ache, Hot flushes, Pain",https://connect.mayoclinic.org/discussion/anastrozole-and-side-effects-hair-lossthinning-and-hair-regrowth/,Anastrozole and side effects...hair loss/thinning and hair regrowth,"I started taking anastrozole in May 2018. The worst side effect I had was hot flashes, but I was undergoing radiation and it was a particularly hot summer here. My Dr took me off it for two weeks and I restarted it in September. I have had very few problems. The first time I had BC, I took tamoxifen and I think that bothered me more. I was anticipating problems this time. The hot flashes are goneI never had them before in my life! I have random aches and pains. One joint in my foot seems to be tender, but it is something I can easily live with. One thing I did notice was the hair thinning. I had it with the tamoxifen and now with this. It really bothered me, but has anyone else had their hair start to grow back? I had searched the internet for a natural substance to help hair growth and found castor oil. Needless to say, I was skeptical. I put it on a cotton ball and dab it lightly on the areas by my temples and my natural hair part and my hairline by my forehead. It is an easy fix if it is a fix. Recently I have noticed new hair growth in the temple areas and in my hair part. It is about an inch + long. It is not as if my hair has suddenly thickened up a lot, but there is a difference. I am not sure if I am just getting used to the medicine or if the castor oil has any effect, but there is a difference. For me, there is an improvement, so I just wanted to let you know that there may be hope for improvement for other people. Liked by Christine Huyber Follow Report"
24,C0014544,Epilepsy,"C0015672, C1579931, C0683369","Fatigue, Depressed - symptom, Clouded consciousness",https://connect.mayoclinic.org/discussion/brain-mets/,Brain Mets,"Hi all , new to the group but hoping for some support & that I can support others ? I have 3 or 4 Tumours on my Brain , Breast Cancer diagnosed 2 half years ago. Nothing ever found in Breasts but were Breast Cancer Cells found in Hip , Femur & Liver . Tratuzamab & Pertuzamab every 3 weeks had Radiotherapy just before Christmas & its left me really tired & miserable. Im terrified that I might start having Epileptic Fits & Ive found myself staying Home in Bed all Day, frightened . I sometimes take my Sleeping Tablet or a Dose of Morphine to hopefully send me to sleep so I dont have to think about things. Woke up startled earlier with what I call a sweet smell which I had when first told it had spread to my Brain. I was in Hospital, confused & had a Brain Scan but kept smelling this smell & smelt it tonight so terrified somethings going to happen ? How do others live with Brain Mets ? Was getting on pretty well with life before this developed Sepsis a couple of times, had been poorly a few times , but then once Home was quite active & Happy Radiotherapy has knocked me for six ! Hows others coping ? Any advice would be most welcome , Thanks X I Follow Report"
24,C0036690,Septicemia,"C0015672, C1579931, C0683369","Fatigue, Depressed - symptom, Clouded consciousness",https://connect.mayoclinic.org/discussion/brain-mets/,Brain Mets,"Hi all , new to the group but hoping for some support & that I can support others ? I have 3 or 4 Tumours on my Brain , Breast Cancer diagnosed 2 half years ago. Nothing ever found in Breasts but were Breast Cancer Cells found in Hip , Femur & Liver . Tratuzamab & Pertuzamab every 3 weeks had Radiotherapy just before Christmas & its left me really tired & miserable. Im terrified that I might start having Epileptic Fits & Ive found myself staying Home in Bed all Day, frightened . I sometimes take my Sleeping Tablet or a Dose of Morphine to hopefully send me to sleep so I dont have to think about things. Woke up startled earlier with what I call a sweet smell which I had when first told it had spread to my Brain. I was in Hospital, confused & had a Brain Scan but kept smelling this smell & smelt it tonight so terrified somethings going to happen ? How do others live with Brain Mets ? Was getting on pretty well with life before this developed Sepsis a couple of times, had been poorly a few times , but then once Home was quite active & Happy Radiotherapy has knocked me for six ! Hows others coping ? Any advice would be most welcome , Thanks X I Follow Report"
39,C0042109,Urticaria,C1579931,Depressed - symptom,https://connect.mayoclinic.org/discussion/hives-and-itching/,Treatment-related skin issues: Hives and itching,"I was on Anastrozole following stage 2A breast cancer radiation. After about 4 months on Anastrozole I started breaking out in hives and severe itching. That can be a rare side effect of Anastrozole. My doctor had me stop the Anastrozole for several days and the hives and itching went away and I was fine again. My doctor then switched my meds to Tomoxifin. Ive been on that for about 3 weeks and again I have severe itching and hives. Last night I woke up miserable with hives again, they subsided after a few hours. I have no idea if this itching problem is related to my cancer meds. or not, but its driving me crazy. This is the craziest problem Ive had and a very strange side effect. But I do know that if I stop taking my meds it goes away. Anybody else having similar skin issues like this? Liked by cindylb Follow Report"
48,C0002170,Alopecia,"C0036572, C0019559, C0151825, C0015672, C0231218, C0600142","Seizures, Hip joint pain, Bone pain, Fatigue, Malaise, Hot flushes",https://connect.mayoclinic.org/discussion/anastrozole-vs-letrozole-vs-tamoxifen/,Anastrozole vs Letrozole vs Tamoxifen,"Over two years out from initial Stage1 diagnosis. Lumpectomy followed by radiation, then began taking anastrozole for about 6-7 months. Side effects, mostly bone pain that eventually moved to my feet, were horrible as my job requires a lot of walking. Doc recommended a stay in the meds for about two weeks. Felt like a new person! Im currently on Letrozole which has been a better fit for me until the last few months. Hair thinning (also happened with anastrozole); HOT FLASHES, severe fatigue, bone pain mainly in my hips, and depression. Not sleeping well, but Dr. isnt sure thats Letrozole. He gave me the option of coming off Letrozole for 7-10 days to see if I noticed a difference. If I improve, Ill next try Tamoxifen. I know everyone reacts diffently to these meds, but Id certainly appreciate some feedback from you guys before I make another change. Thanks so much! Follow Report"
49,C4682758,Post-Mastectomy Pain Syndrome,C0748706,side pain,https://connect.mayoclinic.org/discussion/post-mastectomy-pain-syndrome/,Post Mastectomy Pain Syndrome,"Has anyone been diagnosed with post mastectomy pain syndrome and how are they coping with it? I had bilateral mastectomies almost 4 years ago and radiation on right side. Have had daily pain on both sides the right side being the worst. Finally have been put on Neurontin which helps. Liked by Colleen Young, Connect Director Follow Report"
59,C3809991,"IMMUNODEFICIENCY, COMMON VARIABLE, 10",C0231218,Malaise,https://connect.mayoclinic.org/discussion/videos-about-breast-cancer-surgery-from-mayo-experts/,Videos about Breast Cancer Surgery from Mayo Experts,"Ill add these videos in the related discussions, but thought it might be helpful to have an inventory of these videos about Breast Cancer Surgery from Mayo Clinic Experts in one place. Dr. Judy Boughey  Frozen section and sentinel lymph node biopsy Dr. Amy Degnim  Skin-sparing and nipple-sparing mastectomy Dr. James Jakub  Nipple-sparing mastectomy in patients with BRCA gene mutations Drs. David Farley & Minh-Doan Nguyen  Breast reconstruction following breast cancer surgery Follow Report"
63,C0836924,Thrombocytosis,"C0003862, C0030193, C0234233","Arthralgia, Pain, Sore to touch",https://connect.mayoclinic.org/discussion/can-joint-pain-of-aromatase-inhibiters-ais-be-reversed-completely/,Can joint pain of aromatase inhibiters (AIs) be reversed completely?,"Over the past year, I have taken2 of the 3 Anastrozole for six months and had to come off because of extreme joint pain. The following 6 months, I took Aromasin, which has given me slightly less joint pain, with similar symptoms  terrible pain from my fingertips through my wrists and above. There is one remaining AI that remains, which I intend to inquire about this coming week, with my oncologist, which Ive heard has the lesser joint pain than the first 2. I cannot take Tamoxofin, because of thrombocytosis, so I opt for the 3rd drug and hope that the side effects are less, or choose to live with the pain that is ongoing, that impacts my ability to open bottles, using scissors and the unfortunate difficulty that comes with a trigger finger  which is very sore (Im wearing a finger brace). When I wake up in the morning, many of my fingers are numb and tingly, which dissipates after a while, but the range of joint pain in both hands is depressing. Not sure that I can do this for another 4 years, as I want to benefit from its impact on reducing estrogen levels and the reoccurrence of (breast) cancer. Should I expect that when I come off these meds, that my hands will return to normal ? I need input from those of you who have taken this journey. Follow Report"
