PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
1,C0458219,Complex Regional Pain Syndromes,C0030193,Pain,https://patient.info/forums/discuss/new-to-cprs-occipital-neuralgia-and-fibromyalgia-716805,New to CPRS Occipital Neuralgia and fibromyalgia,"I fell last November 2018 and have had numerous tests numerous doctors I have been in so much pain. my right leg does not work correctly. cant weight bear and it is in pain all the time. my Neuro says it's the fibro. I have a hard time believing that has anyone else had these issues? the cold air is like scalding water on my skin what do you guys do my best thing has been curling up in a heating blanket . the pain is actually taking over and I dont know what to do I'm 43 I use to be an avid 5 mile a day runner very active hunter hiker outdoorswoman and I have been stripped from it all. feeling very cheated. but grateful I still have this life. just looking for reccomendations. 0 likes, 0 replies "
3,C0272285,Heparin-induced thrombocytopenia,"C0018834, C0235108, C0028643, C0012833","Heartburn, Feeling tense, Numbness, Dizziness",https://patient.info/forums/discuss/spitting-blood-from-last-9-months-don-t-know-where-it-is-coming-from--645693,Spitting blood from last 9 months. Don't know where it is coming from.,"I had a car accident 11-12 months ago. I was on bike and car hit me from back. My head hit with something and started bleeding. I had 6 stitches in head that time. After that consulted with neurosurgeon and he suggested some medicines like muscle relaxants (baclofen) and pain killers. You can say, it's kind of whiplash injury. Now I think everything related to head or brain is fine except some dizziness. It was some background. Now the problem is, after 2 months of accident, I noticed blood started coming from my mouth with saliva in following conditions. 2. Sometimes blood comes in my mouth may be one or two times in a day while standing or sitting. 3. Always comes when I lay down in a position shown in attached picture.  But I can tell you that it's coming from downside (downside means from throat or somewhere else from down), not from upside (head or brain). But I don't know why and where it is coming from exactly. I have discussed this with many doctors 2 neurosurgeon, 1 neurologist, 2 ent specialists. First ent specialist have checked my throat but said throat is fine. Second ent specialist said that I am spitting blood because of acidity problem. Every doctor is saying that spitting blood is normal and will get fine by time. But it's 8 to 9 months have passed, I am still spitting blood almost everyday. I am tense about this situation because I can hear and feel different voices in my neck or throat. Feels irritation is my throat. Feels dizziness and numbness in my arms. Feels like my arms are not with me but sometimes feels normal.  I don't know from where and why blood coming from. Spitting blood has any relation to that accident? Do I have any internal injury in throat, cervical spine or specially spinal cord? Can anybody help me to get rid of this situation? Any doctor please? I don't want to see spitting blood everyday. It feels scary and weird. Thanks, momersaleem 0 likes, 0 replies "
3,C0042373,Vascular Diseases,"C0018834, C0235108, C0028643, C0012833","Heartburn, Feeling tense, Numbness, Dizziness",https://patient.info/forums/discuss/spitting-blood-from-last-9-months-don-t-know-where-it-is-coming-from--645693,Spitting blood from last 9 months. Don't know where it is coming from.,"I had a car accident 11-12 months ago. I was on bike and car hit me from back. My head hit with something and started bleeding. I had 6 stitches in head that time. After that consulted with neurosurgeon and he suggested some medicines like muscle relaxants (baclofen) and pain killers. You can say, it's kind of whiplash injury. Now I think everything related to head or brain is fine except some dizziness. It was some background. Now the problem is, after 2 months of accident, I noticed blood started coming from my mouth with saliva in following conditions. 2. Sometimes blood comes in my mouth may be one or two times in a day while standing or sitting. 3. Always comes when I lay down in a position shown in attached picture.  But I can tell you that it's coming from downside (downside means from throat or somewhere else from down), not from upside (head or brain). But I don't know why and where it is coming from exactly. I have discussed this with many doctors 2 neurosurgeon, 1 neurologist, 2 ent specialists. First ent specialist have checked my throat but said throat is fine. Second ent specialist said that I am spitting blood because of acidity problem. Every doctor is saying that spitting blood is normal and will get fine by time. But it's 8 to 9 months have passed, I am still spitting blood almost everyday. I am tense about this situation because I can hear and feel different voices in my neck or throat. Feels irritation is my throat. Feels dizziness and numbness in my arms. Feels like my arms are not with me but sometimes feels normal.  I don't know from where and why blood coming from. Spitting blood has any relation to that accident? Do I have any internal injury in throat, cervical spine or specially spinal cord? Can anybody help me to get rid of this situation? Any doctor please? I don't want to see spitting blood everyday. It feels scary and weird. Thanks, momersaleem 0 likes, 0 replies "
5,C0005779,Blood Coagulation Disorders,"C0221512, C0037088, C0018681","Stomach ache, Signs and Symptoms, Headache",https://patient.info/forums/discuss/daughter-has-blood-pooling-in-her-mouth-has-anyone-heard-of-this-626777,Daughter has blood pooling in her mouth.has anyone heard of this ,"Hi there I'm apealing far and wide in the hope of finding  answers.....my 14yr old Daughter has experienced blood pooling in her mouth every two wks for the last 3mos.....shes had cameras up her nose and down her throat lots of blood tests and an mri scan with contrast and all tests come back perfect.....when this happens she has stomach pain...headaches and generally feels unwell but her stats are always good.....she spits large amounts of fresh blood every 20/30mins.....i hope someone has some answers on here we're getting desperate....  0 likes, 2 replies "
8,C4552766,Miscarriage,"C0221423, C0010200, C0312414, C0030193, C0234233","Illness (finding), Coughing, Menstrual spotting, Pain, Sore to touch",https://patient.info/forums/discuss/untreated-excessive-bleeding-650809,untreated excessive  bleeding,"Hello, 23 years old and have been experiencing vaginal bleeding for most of the last 5 years. 2013 I'm pretty sure I had a miscarriage but I'm not 100% sure seemed that way. I bled excessively  for a month being stuck in bed and the bathroom, going through giant pads every hour.it was gross, extremely painful, and took all my energy. Doctors think I am okay and ha e just excessive  menstruation. I'm not buying it though. Five years later and I'm still bleeding . It's not always heavy now but I can't bend over without starting to bleed. I can't get stressed out, cough to hard, lift, or bend without it causing my vagina to bleed. I'm not sure what to do. It has cause me to lose 100 pounds. I was almost 200 pounds. Thankfully I've put back on 15(on  a good day ). So now I sit at 115 pounds, bleeding/spotting every single day for the last 5 years. I'm drained, sore, and tiered. I've requested a d &c in hopes to fix it but my request has been denied. I'm also without insurance thank for any and all advice. I'm pale and sick of being sick, I need help. 1 like, 0 replies "
8,C0017547,Gigantism,"C0221423, C0010200, C0312414, C0030193, C0234233","Illness (finding), Coughing, Menstrual spotting, Pain, Sore to touch",https://patient.info/forums/discuss/untreated-excessive-bleeding-650809,untreated excessive  bleeding,"Hello, 23 years old and have been experiencing vaginal bleeding for most of the last 5 years. 2013 I'm pretty sure I had a miscarriage but I'm not 100% sure seemed that way. I bled excessively  for a month being stuck in bed and the bathroom, going through giant pads every hour.it was gross, extremely painful, and took all my energy. Doctors think I am okay and ha e just excessive  menstruation. I'm not buying it though. Five years later and I'm still bleeding . It's not always heavy now but I can't bend over without starting to bleed. I can't get stressed out, cough to hard, lift, or bend without it causing my vagina to bleed. I'm not sure what to do. It has cause me to lose 100 pounds. I was almost 200 pounds. Thankfully I've put back on 15(on  a good day ). So now I sit at 115 pounds, bleeding/spotting every single day for the last 5 years. I'm drained, sore, and tiered. I've requested a d &c in hopes to fix it but my request has been denied. I'm also without insurance thank for any and all advice. I'm pale and sick of being sick, I need help. 1 like, 0 replies "
8,C2979982,Vaginal Hemorrhage,"C0221423, C0010200, C0312414, C0030193, C0234233","Illness (finding), Coughing, Menstrual spotting, Pain, Sore to touch",https://patient.info/forums/discuss/untreated-excessive-bleeding-650809,untreated excessive  bleeding,"Hello, 23 years old and have been experiencing vaginal bleeding for most of the last 5 years. 2013 I'm pretty sure I had a miscarriage but I'm not 100% sure seemed that way. I bled excessively  for a month being stuck in bed and the bathroom, going through giant pads every hour.it was gross, extremely painful, and took all my energy. Doctors think I am okay and ha e just excessive  menstruation. I'm not buying it though. Five years later and I'm still bleeding . It's not always heavy now but I can't bend over without starting to bleed. I can't get stressed out, cough to hard, lift, or bend without it causing my vagina to bleed. I'm not sure what to do. It has cause me to lose 100 pounds. I was almost 200 pounds. Thankfully I've put back on 15(on  a good day ). So now I sit at 115 pounds, bleeding/spotting every single day for the last 5 years. I'm drained, sore, and tiered. I've requested a d &c in hopes to fix it but my request has been denied. I'm also without insurance thank for any and all advice. I'm pale and sick of being sick, I need help. 1 like, 0 replies "
8,C0011119,Decompression Sickness,"C0221423, C0010200, C0312414, C0030193, C0234233","Illness (finding), Coughing, Menstrual spotting, Pain, Sore to touch",https://patient.info/forums/discuss/untreated-excessive-bleeding-650809,untreated excessive  bleeding,"Hello, 23 years old and have been experiencing vaginal bleeding for most of the last 5 years. 2013 I'm pretty sure I had a miscarriage but I'm not 100% sure seemed that way. I bled excessively  for a month being stuck in bed and the bathroom, going through giant pads every hour.it was gross, extremely painful, and took all my energy. Doctors think I am okay and ha e just excessive  menstruation. I'm not buying it though. Five years later and I'm still bleeding . It's not always heavy now but I can't bend over without starting to bleed. I can't get stressed out, cough to hard, lift, or bend without it causing my vagina to bleed. I'm not sure what to do. It has cause me to lose 100 pounds. I was almost 200 pounds. Thankfully I've put back on 15(on  a good day ). So now I sit at 115 pounds, bleeding/spotting every single day for the last 5 years. I'm drained, sore, and tiered. I've requested a d &c in hopes to fix it but my request has been denied. I'm also without insurance thank for any and all advice. I'm pale and sick of being sick, I need help. 1 like, 0 replies "
11,C0037199,Sinusitis,"C0036572, C0018681, C3714552","Seizures, Headache, Weakness",https://patient.info/forums/discuss/cvst-with-wife-666304,CVST with wife,"Hello,  It has been about 18 months since we found out that my wife had CVST, and it has been a journey. She had just given birth to our second child, and thats when she started having her headaches. She thought it was a sinus infection, so she kept on pushing along, but the headaches became worse. Her left leg started to twitch, so we knew at that time something wasn't right.  We started to the hospital that second, and she experienced a seizure on the way to the ER. Obviously I was terrified and our newborn was in the backseat. I called the ambulance, and they picked her up and rushed her to the hospital. It wasn't long after, that the Dr came to talk to me and let me know she had a clot in her dural sinus. Thinking back, Im so glad they were able to diagnose it so fast. She spent a few weeks in ICU and then acute care after that. She was put on warfarin and keppra for a while, but we were unable to get her INR levels right. They switched her to Arixtra which is an injection blood thinner, but we went with this one so she could continue breast feeding while using this one...this was very important to her.  It has been a journey regarding her building her strength and energy back up. She utilized a walker for a long time after the event, and her walking was showing much improvement for a while. But after about 12 months, the Dr took her off the keppra, and her walking showed immediate improvement. She still has residual effects when she goes in high sensory places with alot of movement...malls, restaurants, etc. Her head hurts a little, and her left leg starts to get weak. She has been getting stronger, and we are hopeful she continues to get better. Last month she had a checkup with her neurologist, and we found out that her clot had dissolved which we were very happy about. We will just continue working on her getting stronger, and hoping the residual stuff improves. She has recently accepted a job offer starting in August, so we will see how that goes. I feel she is getting closer to where she was, but no doubt there is still some work to go.  Just looking to chat with other people that have had similar situations. I find it therapeutic to get guidance and news/ updates from others. Thank you guys.   0 likes, 0 replies "
11,C0338573,Cerebral venous sinus thrombosis,"C0036572, C0018681, C3714552","Seizures, Headache, Weakness",https://patient.info/forums/discuss/cvst-with-wife-666304,CVST with wife,"Hello,  It has been about 18 months since we found out that my wife had CVST, and it has been a journey. She had just given birth to our second child, and thats when she started having her headaches. She thought it was a sinus infection, so she kept on pushing along, but the headaches became worse. Her left leg started to twitch, so we knew at that time something wasn't right.  We started to the hospital that second, and she experienced a seizure on the way to the ER. Obviously I was terrified and our newborn was in the backseat. I called the ambulance, and they picked her up and rushed her to the hospital. It wasn't long after, that the Dr came to talk to me and let me know she had a clot in her dural sinus. Thinking back, Im so glad they were able to diagnose it so fast. She spent a few weeks in ICU and then acute care after that. She was put on warfarin and keppra for a while, but we were unable to get her INR levels right. They switched her to Arixtra which is an injection blood thinner, but we went with this one so she could continue breast feeding while using this one...this was very important to her.  It has been a journey regarding her building her strength and energy back up. She utilized a walker for a long time after the event, and her walking was showing much improvement for a while. But after about 12 months, the Dr took her off the keppra, and her walking showed immediate improvement. She still has residual effects when she goes in high sensory places with alot of movement...malls, restaurants, etc. Her head hurts a little, and her left leg starts to get weak. She has been getting stronger, and we are hopeful she continues to get better. Last month she had a checkup with her neurologist, and we found out that her clot had dissolved which we were very happy about. We will just continue working on her getting stronger, and hoping the residual stuff improves. She has recently accepted a job offer starting in August, so we will see how that goes. I feel she is getting closer to where she was, but no doubt there is still some work to go.  Just looking to chat with other people that have had similar situations. I find it therapeutic to get guidance and news/ updates from others. Thank you guys.   0 likes, 0 replies "
