PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
1,C0009450,Communicable Diseases,"C0000737, C0278144","Abdominal Pain, Dull pain",https://patient.info/forums/discuss/left-testical-pain-lower-stomach-pain-and-side--415112,Left Testical pain. Lower Stomach pain and side.,"Hi All. I am very pleased to have found this site to see other people are having simular symptoms as myself. Also I will add that whilst I fell very down its very clear that there are many on here that are in a worse place than myself. about 4 months ago a dull pain developed in my left testical on the left hand side of it. Doctor gave me cipro thinking Prostatis. it did not work.Uroligist gave me cipro and Doxicycline with Naproxen. they have not worked. back to the Doctor and he has given me a course of doxicycline for another 2 weeks. they are not working. had an Ultrasound and all clear. Had blood tests and urine tests and they are all clear. in now experiancing pains in my stomach and my side. feels like a stich sometimes in the side. this can also spread to the kidney area to. i am taking Gabapentin to. just wondering if anyone has had simular and found a cure. is it an infection? is it a damaged nerve? kind thanks. 3 likes, 150 replies "
2,C0018081,Gonorrhea,C0521632,Irritation of penis,https://patient.info/forums/discuss/testicle-numbness-731086,Testicle numbness,"hi, the last 2 weeks i have been feeling a numbing  sensation in my testicle area. feels more like the sack than the testicles. before i felt an irritation in my penis but that has gone. i got tested for Chlamydia, gonorrhea trichomonas, mycoplasma, ureaplasma and herpes. full blood count. all came back normal. so no sti and also ruled out UTI.  is there anything else it could be? 0 likes, 1 reply "
2,C0042029,Urinary tract infection,C0521632,Irritation of penis,https://patient.info/forums/discuss/testicle-numbness-731086,Testicle numbness,"hi, the last 2 weeks i have been feeling a numbing  sensation in my testicle area. feels more like the sack than the testicles. before i felt an irritation in my penis but that has gone. i got tested for Chlamydia, gonorrhea trichomonas, mycoplasma, ureaplasma and herpes. full blood count. all came back normal. so no sti and also ruled out UTI.  is there anything else it could be? 0 likes, 1 reply "
2,C0036916,Sexually Transmitted Diseases,C0521632,Irritation of penis,https://patient.info/forums/discuss/testicle-numbness-731086,Testicle numbness,"hi, the last 2 weeks i have been feeling a numbing  sensation in my testicle area. feels more like the sack than the testicles. before i felt an irritation in my penis but that has gone. i got tested for Chlamydia, gonorrhea trichomonas, mycoplasma, ureaplasma and herpes. full blood count. all came back normal. so no sti and also ruled out UTI.  is there anything else it could be? 0 likes, 1 reply "
2,C0019340,herpes,C0521632,Irritation of penis,https://patient.info/forums/discuss/testicle-numbness-731086,Testicle numbness,"hi, the last 2 weeks i have been feeling a numbing  sensation in my testicle area. feels more like the sack than the testicles. before i felt an irritation in my penis but that has gone. i got tested for Chlamydia, gonorrhea trichomonas, mycoplasma, ureaplasma and herpes. full blood count. all came back normal. so no sti and also ruled out UTI.  is there anything else it could be? 0 likes, 1 reply "
2,C0040921,Trichomonas Infections,C0521632,Irritation of penis,https://patient.info/forums/discuss/testicle-numbness-731086,Testicle numbness,"hi, the last 2 weeks i have been feeling a numbing  sensation in my testicle area. feels more like the sack than the testicles. before i felt an irritation in my penis but that has gone. i got tested for Chlamydia, gonorrhea trichomonas, mycoplasma, ureaplasma and herpes. full blood count. all came back normal. so no sti and also ruled out UTI.  is there anything else it could be? 0 likes, 1 reply "
6,C0009450,Communicable Diseases,"C0234238, C0085624, C0026821, C0278107, C0039591","Ache, Burning sensation, Muscle Cramp, Painful ejaculation, Pain in testicle",https://patient.info/forums/discuss/right-epididymis-extremely-sensitive-lots-of-test-and-nothing-found-723303,Right epididymis extremely sensitive. Lots of test and nothing found,"hello. lets start from the beginning.when i was in second grade we were playing capture the flag and i ran into a picnic table sticking my nuts. of course they instantly swelled up, i went to er and long story short, i went home on ice for a week. im now 24 going on 25. about 5 years ago i squated down to lift something heavy with my legs and when i went to lift my right leg and testicle started aching. just like a pulled muscle. i went to ER again, they gave me a physical and didnt find anything and sent me home. i now work for a tow company and am very active, about 2 months ago i strained my right groin area and my muscles near my groin, into that spot between your testicles and anus, and up into the crease of my right butt cheek all cramp up..... which is expected. but also my right epididymis is sensitive. randomly feels like its burning, aches, sometimes the head of it is inflamed. also, i do have sex alot. i ejaculate roughly 2-3 times a day.... only once did i get testicle pain durring ejaculation. i cant give rough sex because my epididymis is so sensitive. ive had imaging done, urine test, uring culture and physical and everything came back perfect. am i over working my epididymis from ejaculating so much or is it a leg muscle effecting my nut? doc, er nurse and urologist all say its nerve and or muscle strain in my leg. sometimes if i left myself with my right leg. my right nut will ache.... not the nut its self.. but the epididymis. doc, er nurse and urologist cant pinpoint anything. no infection, no  , no  ,.... nothing. also i have severe  . can anyone point me in the right direction? please help 1 like, 3 replies "
8,C0014534,Epididymitis,"C0030193, C2364135","Pain, Discomfort",https://patient.info/forums/discuss/has-anyone-had-epididymectomy-surgery--701964,Has anyone had epididymectomy surgery? ,"Have heard that some people get relief while others it can make things worse. Any first hand recommendations? I have had recurrent epididymitis for 2 years now and is impacting quality of like (unable to sit, can only drive short distance, missing a lot of time from work, unable to do physical activity due to pain and discomfort. Have been on a handful of antibiotics that did not work. Dr is recommending surgery. 0 likes, 9 replies "
9,C0018081,Gonorrhea,"C0030193, C0232495, C0234233","Pain, Lower abdominal pain, Sore to touch",https://patient.info/forums/discuss/epididymitis-and-urine-tests-questions-concerns-732616,Epididymitis and urine tests questions/concerns,"I (23M) have had lower abdominal / testicular pain and soreness for over a year now. When it first started happening I visited a walk-in clinic doctor who physically checked my testicles and abdominal area. I was sent for an abdominal ultrasound and did a urine test. The doctor said if nothing was found in the ultrasound I would have to go on in for a  . I was reluctant to do so right away so I visited my family doctor who also checked my testicles and made me do another urine test. I was sent for another ultrasound this time for my groin area. Nothing was found again. I was sent home with the simple advice to ""loosen my belt"". I thought the pain would eventually go away if I wore looser clothing and didn't wear a belt for a while. Recently, I acquired a new sex partner (21F) and thus began sexually active again (after a 3/4 month break). I noticed that I couldn't stay erect because of the pain from my testicle mixed with the   of feeling like something is still wrong with it. I haven't been able to get a full erection (even during masturbation) for 2 weeks now. At this point I got extremely concerned so i visited another walk-in clinic doctor who immediately told me after feeling my left testicle that it is almost certainly Epididymitis. I am now taking advil twice a day and was advised not to masturbate or have sex for 2 weeks after which if the pain does not stop I am to take   for a week. I am going in tomorrow to do a 3rd urine test for this to check for STD's. This doctor told me that it is most likely because I have Gonorrhea or   which caused the Epididymitis. Now, I am mainly concerned because I have had this pain for such a long time that serious complications can result from it being untreated. My main questions are the following: In the previous urine tests I did while experiencing this condition, was my urine automatically tested for STD's? If so, is it the doctors obligation to tell me if I tested positive for any STD's? Also, any other information or advice would be greatly appreciated. Thank you. 1 like, 1 reply "
9,C0749263,temporal pain,"C0030193, C0232495, C0234233","Pain, Lower abdominal pain, Sore to touch",https://patient.info/forums/discuss/epididymitis-and-urine-tests-questions-concerns-732616,Epididymitis and urine tests questions/concerns,"I (23M) have had lower abdominal / testicular pain and soreness for over a year now. When it first started happening I visited a walk-in clinic doctor who physically checked my testicles and abdominal area. I was sent for an abdominal ultrasound and did a urine test. The doctor said if nothing was found in the ultrasound I would have to go on in for a  . I was reluctant to do so right away so I visited my family doctor who also checked my testicles and made me do another urine test. I was sent for another ultrasound this time for my groin area. Nothing was found again. I was sent home with the simple advice to ""loosen my belt"". I thought the pain would eventually go away if I wore looser clothing and didn't wear a belt for a while. Recently, I acquired a new sex partner (21F) and thus began sexually active again (after a 3/4 month break). I noticed that I couldn't stay erect because of the pain from my testicle mixed with the   of feeling like something is still wrong with it. I haven't been able to get a full erection (even during masturbation) for 2 weeks now. At this point I got extremely concerned so i visited another walk-in clinic doctor who immediately told me after feeling my left testicle that it is almost certainly Epididymitis. I am now taking advil twice a day and was advised not to masturbate or have sex for 2 weeks after which if the pain does not stop I am to take   for a week. I am going in tomorrow to do a 3rd urine test for this to check for STD's. This doctor told me that it is most likely because I have Gonorrhea or   which caused the Epididymitis. Now, I am mainly concerned because I have had this pain for such a long time that serious complications can result from it being untreated. My main questions are the following: In the previous urine tests I did while experiencing this condition, was my urine automatically tested for STD's? If so, is it the doctors obligation to tell me if I tested positive for any STD's? Also, any other information or advice would be greatly appreciated. Thank you. 1 like, 1 reply "
