PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
1,C0265493,Cat eye syndrome,"C0004604, C0030193","Back Pain, Pain",https://patient.info/forums/discuss/ces-advice-please-713133,CES advice please,"I have suffered for years with back pain I knew when my pain went way above my pain level that things weren't right so got home visit. I should say at this point I am also suffering with bronchial problems which when the Dr came she immediately dealt with this even though she increased my pain medication. I also told her I had had a 3 day episode of not being able to control my bowel at all. Few weeks later I had to go Drs as pain was unbearable I was there at 18.00 hours hospital half an hour later saw registrar about 5 hours later in agony. After I was admitted with suspected spinal compression they couldn't decide whether to send me to Newcastle RVI  but I was sent 18 hours later for MRI which showed I had a very large disc growth so was operated on for CES which by this time was urgent and major surgery. I don't know why it was missed or not considered over the last 5/6 weeks. Is someone at fault or was I just unlucky 0 likes, 5 replies "
2,C0265493,Cat eye syndrome,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
2,C0409929,Osteoarthritis of toe joint,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
2,C0021818,Intervertebral Disk Displacement,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
2,C0021400,Influenza,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
2,C1956089,Osteophyte,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
2,C0029408,Degenerative polyarthritis,"C0016512, C0028643, C0037763, C0085624, C0150055, C0423571, C3714552, C0026838, C0030193","Foot pain, Numbness, Spasm, Burning sensation, Chronic pain, Abnormal sensation, Weakness, Muscle Spasticity, Pain",https://patient.info/forums/discuss/chronic-foot-pain-from-ces-700279,Chronic foot pain  from CES,"In August 2017 I had emergency surgery for a herniated disc that impinged on the L3 region of my spinal cord resulting in   (CES). Almost two years later my recovery has been, for the most part, pretty good. I went from total paralysis of my lower body before and for two weeks after surgery, to two months with a walker, another month with walking sticks and then no supports. I had about five months of back spasms and pain from December 2017 to late April 2018, but now my back is okay. I am left with numbness and weakness on my lower left side, while my right side has healed almost completely. However, since last November I have been dealing with chronic foot pain in my left foot, which is the side that is still most affected by the CES. The pain started when I began walking more to try and burn off steam and sleep better. The pain started on the front of my ankle, where the foot meets the leg, but over time I have also been getting a strange ""full"" sensation and pressure on the mid-top of my left foot, as well as a tugging sensation between my toes (as if the tendons are being pulled back), and sometimes a feeling like something is gripping hard around the ankles on my left foot and also a burning sensation in my outer and front shins on my left leg. All of this is at times quite painful and possible because of the CES nerve damage, kind of tingly feeling. This isn't what I would call spasticity, though it does feel like the muscles and tendons are tight and won't turn off. I bought new orthotics and newer support shoes back in December, have seen physiotherapists for the last five months and had two XRays and I've just seen and ankle and foot specialist. The XRays showed mild osteoarthritis in the big toe (I'm 57, so not surprised), but no fractures or bone spurs. The physiotherapists and specialist haven't really provided a clear diagnosis or workable treatment the pain (just continue doing physio...lol) and none of the health professionals seem to understand or want to take into account that CES is contributing to the pain. It's frustrating. Has anyone else experienced similar foot pain. Any treatment that worked? 0 likes, 5 replies "
4,C0265493,Cat eye syndrome,"C0028643, C0221423, C0857160, C0009806, C0026821","Numbness, Illness (finding), leg numbness, Constipation, Muscle Cramp",https://patient.info/forums/discuss/ces-advise-715137,CES Advise ,"I was diagnosed with CES in 2015 after I had an emergency surgery to decompress my L4/L5.  This was followed by a fusion 6 months later.  Thankfully, I recovered and was left with just some numbness on my right leg and toes and this horrible constipation issue, which is nothing compared to what others are going through. Its been years now and it seems to get worst. I feel the desire to use it, but the muscle wont open enough So I cant never really empty my bowels. Either it wont open enough or it will cause some sort of spasm and the muscle completely close. I've been to so many doctors and they all say the same, drink more water and eat more vegetables. I explain everything I went through and the reason why Im going through this and it's like they don't understand. Sometimes the nurses don't even know what CES is. It is so frustrating because sometimes feel sick and now  my stomach is large, I look like I'm pregnant, I can't really lose weight because I cant use it, and all the drs can say is eat better, drink more water, and try laxatives. I do all and nothing works. Any advise?? 0 likes, 2 replies "
5,C0265493,Cat eye syndrome,"C0857160, C0042963","leg numbness, Vomiting",https://patient.info/forums/discuss/getting-bowels-under-control-after-ces-680686,Getting bowels under control after ces,"I had surgery mid July 2018 for ces. As far as i can tell, it went well. Ive got the numbness in my legs and i think things are getting better there. But like many with ces, i dont have control of my bladder and bowels. bladder I can deal with a lot easier. But my bowels are the problem. I am having a constant sensation of needing to poop. But when i actually have a seat on the toilet, nothing comes out. I often times go 3-4 days without having a bowel movement. Despite eating full meals throughout this time. when i do finally go, its due to a combination of a couple things... i usually go after i convince a friend to give me an enema. And then, i still only go if i sit on the toilet and gag myself as if I’m trying to make myself vomit. I guess the pressure of vomiting pushes things along as well. Keep in mind that I’m not actually vomiting. Just going through the gagging motions. I usually do this on an empty stomach. It ain’t pretty. And I ain’t proud of this. But a man’s gotta do what a man’s gotta do... i take Lactulose every once in a while. But that only helps me poop a very little tiny bit. And not an actual full bowel movement.  Every time i have a bowel movement, i think it’s solid, and possibly hard. When i was in the hospital and rehab center, my stool was pasty and runny. I was eating pretty bad at the hospital. But  because my stool was runny and pasty, it would always come out whenever i would stand up and exert myself as in stairs or standing/sitting repeatedly. as a result of this, i am considering switching to a liquid diet altogether. This would be a big undertaking for me. And i wanted to know if anyone had any other suggestions on how to get bowels under control before i pull the trigger on a liquid diet. evryone Around me seems to think they’re an expert on how to get me to poop. Drink this. Eat more of this. What these people seem to forget is that, these hoodoo voodoo tricks they have are for people with functioning bowels.  I dont want to end up pooping From my side in to a bag. 0 likes, 4 replies "
6,C0265493,Cat eye syndrome,C0030193,Pain,https://patient.info/forums/discuss/learning-to-walk-all-over-again-after-ces-561518,learning to walk all over again after CES ,"Good evening everyone on this amazing site.  So gald I found it. My back went out after getting up out of bed. I layed on the floor for three hours and every time I moved my lower back hurt. So I called my mom, talked to her for a while,had lunch on the floor. As long as I didn't move, I was OK. Finally decided to call the ambulance. They wanted to pick me up as the our house did not allow them to bring the streatcher in our bedroom. I asked them to drag me out on a sheet and then  down the stairs on the streatcher ? They said no. They picked me up to sit me on a chair with wheels on it. I felt my back going into the most pain I had ever felt. I almost passed out. Then they put me in a different chair that went down stairs. Then was moved to the stretcher. Was given morphine for pain. At the ER the surgeon knew I had CES and needed imeadiate surgery. I was left with not feeling from waist down. Spent 6 wks in rehibiliation hospital. I am now home continueing to learn how to walk.  I am worried that I will hit a plateau and not regain my ability to walk with out a walker. Does anyone have a history of learning how to walk again after CES ? I would appreciate any response, the good along with the bad. I feel I'm doing good, just want to know how others faired and delt with CES. Blessings  1 like, 23 replies "
