PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
1,C0272285,Heparin-induced thrombocytopenia,C0030193,Pain,https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/10733/need-some-help-experts-pls,"Need some help, experts pls.","When i was 5 years old had accident i dropped from a side of a car and the back of my head hit the ground i got to sleep until i woke up in the hospital with my step father and i had some wounds on my head, after that i still remember the last time i felt down and some few seconds my self got shutdown just few seconds after i felt down, Soo this time im now im 16 i have some problems about on bieng steady sometimes i feel unsteady just for my vision i dont know what is it and sometimes i can also control the vision movement with my brain like the chair was turning around to left and go right something like that but in real the chair was not moving just in my vision i dont know why, and sometimes some of my head parts got short slightly pain it could happen any time at any where in my head .... Please help me"
4,C0026769,Multiple Sclerosis,"C0751409, C0028643, C0037763","Upper Extremity Paresis, Numbness, Spasm",https://messageboards.webmd.com/health-conditions/f/multiple-sclerosis/4650/march-is-ms-awareness-month,March is MS Awareness Month,"Multiple Sclerosis is a disease in which the immune system eats away at the protective covering of nerves, and disrupts communication between the brain and the body. Someone with MS may experience weakness in an arm or leg, numbness, loss of balance, and muscle spasms, but the severity of these symptoms are unique to the individual.  Let’s stand with the more than 400,000 Americans living with MS. We are stronger together. Raising awareness, providing support, and sharing your stories does make a difference.  Share your MS story: What’s it really like to live with MS? How long have you been living with the disease? Learn more about causes, symptoms, diagnosis, treatment, and other facts about MS here:"
6,C0024198,Lyme Disease,"C0278144, C0015672, C0549248, C0040822, C0026821, C0030193, C0178419, C0027796, C0236040, C0028643, C2242996, C1446787, C0455270","Dull pain, Fatigue, electric shock sensation, Tremor, Muscle Cramp, Pain, muscle cramps in the calf, Neuralgia, Pain in calf, Numbness, Has tingling sensation, Cramping sensation quality, Sharp pain",https://messageboards.webmd.com/health-conditions/f/multiple-sclerosis/3844/scared-i-may-have-ms,Scared I may have MS,"Good evening. I am little scared and could use your thoughts. A little over three weeks ago, my right leg went numb below the knee and I started to get pins and needles in the feet and cramps in the calf. I also had a dull pain behind my left eye and very slight shaking (kind of like my whole body was on vibrate but barely noticeable to me). The pins and needles, numbness and cramps started to migrate to the left feet and calves over the next two days. The afternoon I had a really sharp pain on the right side of my neck of 30 minutes (glosseal neuralgia?) Then it went away. This happened at the same time the following two days for exactly the same time period. I haven't had that since. Then I started to get a little tingling and pins and needles in my hands and twitching in my legs and extreme FATIGUE. It felt like my legs couldn't support me. I also started to get pin pr!ck sensations all over my body but mostly below the waist. Over a few days, the twitching got a little and pin pricks got worse and my right leg and arm felt like it was sunburned, which it wasn't. The sun burn lasted a day . A couple of days later, still having tingling, cramping, twitching, and pin pricks, my right side felt like it was literally on fire. That lasted a day. About a week has past and it felt like my symptoms were very gradually decreasing and them wammmo! Yesterday morning I had severe pain on my left scapula whenever I turn or bend my head left or lift something with my right arm. My buddy did a little acupuncture and the pain went away. I also started getting electric shock sensations on my head all over but mostly on the sides and behind my ears. Today, I had very sharp pains below my calf to my heel that lasted for a second and continued for several hours, intermittently. This is really starting to freak me out. But other than urinary and bowel issues, I pretty much have every ms symptom. Can you get all of these over a 3 week period never having them before? I should point out I am a mid 40s male and in good shape. I met with my pcp and had a bunch of blood tests to include Lyme disease, vitamins, etc. Other than an Ana ab test, everything came back negative. Is my anxiety getting the best of me or is this pointing to ms."
6,C0011119,Decompression Sickness,"C0278144, C0015672, C0549248, C0040822, C0026821, C0030193, C0178419, C0027796, C0236040, C0028643, C2242996, C1446787, C0455270","Dull pain, Fatigue, electric shock sensation, Tremor, Muscle Cramp, Pain, muscle cramps in the calf, Neuralgia, Pain in calf, Numbness, Has tingling sensation, Cramping sensation quality, Sharp pain",https://messageboards.webmd.com/health-conditions/f/multiple-sclerosis/3844/scared-i-may-have-ms,Scared I may have MS,"Good evening. I am little scared and could use your thoughts. A little over three weeks ago, my right leg went numb below the knee and I started to get pins and needles in the feet and cramps in the calf. I also had a dull pain behind my left eye and very slight shaking (kind of like my whole body was on vibrate but barely noticeable to me). The pins and needles, numbness and cramps started to migrate to the left feet and calves over the next two days. The afternoon I had a really sharp pain on the right side of my neck of 30 minutes (glosseal neuralgia?) Then it went away. This happened at the same time the following two days for exactly the same time period. I haven't had that since. Then I started to get a little tingling and pins and needles in my hands and twitching in my legs and extreme FATIGUE. It felt like my legs couldn't support me. I also started to get pin pr!ck sensations all over my body but mostly below the waist. Over a few days, the twitching got a little and pin pricks got worse and my right leg and arm felt like it was sunburned, which it wasn't. The sun burn lasted a day . A couple of days later, still having tingling, cramping, twitching, and pin pricks, my right side felt like it was literally on fire. That lasted a day. About a week has past and it felt like my symptoms were very gradually decreasing and them wammmo! Yesterday morning I had severe pain on my left scapula whenever I turn or bend my head left or lift something with my right arm. My buddy did a little acupuncture and the pain went away. I also started getting electric shock sensations on my head all over but mostly on the sides and behind my ears. Today, I had very sharp pains below my calf to my heel that lasted for a second and continued for several hours, intermittently. This is really starting to freak me out. But other than urinary and bowel issues, I pretty much have every ms symptom. Can you get all of these over a 3 week period never having them before? I should point out I am a mid 40s male and in good shape. I met with my pcp and had a bunch of blood tests to include Lyme disease, vitamins, etc. Other than an Ana ab test, everything came back negative. Is my anxiety getting the best of me or is this pointing to ms."
6,C1535939,Pneumocystis jiroveci pneumonia,"C0278144, C0015672, C0549248, C0040822, C0026821, C0030193, C0178419, C0027796, C0236040, C0028643, C2242996, C1446787, C0455270","Dull pain, Fatigue, electric shock sensation, Tremor, Muscle Cramp, Pain, muscle cramps in the calf, Neuralgia, Pain in calf, Numbness, Has tingling sensation, Cramping sensation quality, Sharp pain",https://messageboards.webmd.com/health-conditions/f/multiple-sclerosis/3844/scared-i-may-have-ms,Scared I may have MS,"Good evening. I am little scared and could use your thoughts. A little over three weeks ago, my right leg went numb below the knee and I started to get pins and needles in the feet and cramps in the calf. I also had a dull pain behind my left eye and very slight shaking (kind of like my whole body was on vibrate but barely noticeable to me). The pins and needles, numbness and cramps started to migrate to the left feet and calves over the next two days. The afternoon I had a really sharp pain on the right side of my neck of 30 minutes (glosseal neuralgia?) Then it went away. This happened at the same time the following two days for exactly the same time period. I haven't had that since. Then I started to get a little tingling and pins and needles in my hands and twitching in my legs and extreme FATIGUE. It felt like my legs couldn't support me. I also started to get pin pr!ck sensations all over my body but mostly below the waist. Over a few days, the twitching got a little and pin pricks got worse and my right leg and arm felt like it was sunburned, which it wasn't. The sun burn lasted a day . A couple of days later, still having tingling, cramping, twitching, and pin pricks, my right side felt like it was literally on fire. That lasted a day. About a week has past and it felt like my symptoms were very gradually decreasing and them wammmo! Yesterday morning I had severe pain on my left scapula whenever I turn or bend my head left or lift something with my right arm. My buddy did a little acupuncture and the pain went away. I also started getting electric shock sensations on my head all over but mostly on the sides and behind my ears. Today, I had very sharp pains below my calf to my heel that lasted for a second and continued for several hours, intermittently. This is really starting to freak me out. But other than urinary and bowel issues, I pretty much have every ms symptom. Can you get all of these over a 3 week period never having them before? I should point out I am a mid 40s male and in good shape. I met with my pcp and had a bunch of blood tests to include Lyme disease, vitamins, etc. Other than an Ana ab test, everything came back negative. Is my anxiety getting the best of me or is this pointing to ms."
9,C0270736,Essential Tremor,"C0751409, C0221170, C0037763","Upper Extremity Paresis, Muscular stiffness, Spasm",https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/11667/muscle-spasms-weakness-anxiety,"Muscle spasms, weakness, anxiety","Hello, Two and a half months ago I started getting a lot of twitching in both my thumbs, it would alternate and would rarely be both at the same time. That lasted for 3 weeks. Then, the twitching moved to my arms and around my shoulders, then it moved to my lower abdomen and legs not too long after that. I've also gotten it in my face. Now, I get these spasms periodically in my arms, face and legs, though my thumbs and abdomen are fine now. Along with this, I've felt weakness in my arms, my thumbs are stiff, and a little pain in my right wrist and elbow (My right thumb was the worst of all the twitching.) My anxiety has risen and lowered and I've had a couple sleepless nights.  I had an brain MRI which was clear, and my doctor is giving me the brush off after two visits. But my last contact with his nurse made it clear that he never took any significant note of any of these problems, only the benign essential tremor I've had in both arms for the last decade. Any ideas on what I should do, be looking into. My biggest fear is that it is ALS or some other degenerative disease. Derek 33/M"
9,C1285162,Degenerative disorder,"C0751409, C0221170, C0037763","Upper Extremity Paresis, Muscular stiffness, Spasm",https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/11667/muscle-spasms-weakness-anxiety,"Muscle spasms, weakness, anxiety","Hello, Two and a half months ago I started getting a lot of twitching in both my thumbs, it would alternate and would rarely be both at the same time. That lasted for 3 weeks. Then, the twitching moved to my arms and around my shoulders, then it moved to my lower abdomen and legs not too long after that. I've also gotten it in my face. Now, I get these spasms periodically in my arms, face and legs, though my thumbs and abdomen are fine now. Along with this, I've felt weakness in my arms, my thumbs are stiff, and a little pain in my right wrist and elbow (My right thumb was the worst of all the twitching.) My anxiety has risen and lowered and I've had a couple sleepless nights.  I had an brain MRI which was clear, and my doctor is giving me the brush off after two visits. But my last contact with his nurse made it clear that he never took any significant note of any of these problems, only the benign essential tremor I've had in both arms for the last decade. Any ideas on what I should do, be looking into. My biggest fear is that it is ALS or some other degenerative disease. Derek 33/M"
11,C0033893,Tension Headache,"C0028643, C0221423, C0234238, C0278144, C0010200, C0030193, C0037383, C2926602","Numbness, Illness (finding), Ache, Dull pain, Coughing, Pain, Sneezing, Discharge, body substance",https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/11718/aneurysm-symptoms-before-a-rupture,Aneurysm symptoms before a rupture?,"Need some advice, as I'm going out of my mind with panic today.  Last Sunday, my nose and upper lip went numb. Don't recall exactly when it started. I know I sneezed really hard with my mouth shut and felt extremely light-headed suddenly. Could've been after that? Don't recall. Throughout the week or eventually spread to my bottom lip, but no further. It's not totally numb, just very decreased sensitivity.  I went to an ENT due to drainage from a previous illness. He shrugged it off, said it was likely an inflamed nerve, and said I looked fine otherwise.  I was due to go on vacation the next day but was in such a state of panic that I cancelled and went to my regular doctor instead. She had a similar conclusion, that she really wasnt that concerned about it. We did bloodwork to rule out thyroid/B12 issues, which I won't know about til next week. She said she didn't feel like an MRI was needed yet, and gave me prednisone to help with what she thought was a nerve irritated by sneezing/coughing.  My nose and lips are slightly numb with pressure in that area, almost. I have dull pain behind my 2 front teeth, but no visible oral issue. I do have some TMJ aches, but no official diagnoses.  Now yesterday, my neck up to the base of my skull has started hurting. Same ache at my forehead, with a tightness at my temples and the crown of my skull. Still happening today. I spent most of yesterday anxious/stressed/crying, so could be a tension headache? It's not debilitating pain. I'm in a panic thinking that this numbness is because I have an aneurysm bulging against a nerve. Any insight would be much appreciated. I can't focus right now and am a meltdown away from an ER bill. :("
12,C1850765,Visual auras,"C0003862, C0741585, C0000737, C0027497, C0015672, C0037763, C0085624, C0012833, C0857057, C0018681, C0013404, C0302539","Arthralgia, BODY ACHE, Abdominal Pain, Nausea, Fatigue, Spasm, Burning sensation, Dizziness, blotchy, Headache, Dyspnea, spells (neurological symptom)",https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/11723/migraine-with-strange-array-of-symptoms-causing-worry,Migraine with strange array of symptoms causing worry,"I've been having a very odd migrane today full of countless new symptoms.  Headache on left front side with a crazy visual aura, took zomig, hour later took ibuprofen 600, albuterol sulfate and Ritalin. Cold and hot feeling across skin, mostly on right side, nausea, joint pain, burning pain in abdomen and chest, dizzy, tired and short of breath. Migrating sharp pains across body. Ringing ears. Vision is unnaturally blurry. Chest and stomach symptoms worsen when laying down, head symptoms worsen when standing up. Symptoms quickly come and go except for vision, coldness, nausea and burning, which are constant. Zomig tasted so bad as it eventually dripped my neck that I hacked a few times and a little blood came up.  I have asthma, adhd, insommnia and depression. Two months ago I experienced an overdose on excedrin, clonidine and benadryl and recovered. At the time, I was informed of a potential heart murmur. Lymph nodes have been tender and large for years but one has become hard in the last month. I've had a lot of unexplained bruising on my entire legs that are fresh and unchanged for 3-4 weeks, then disappear without a trace after that period. I occasionally have moments where I loose a couple seconds and get startled. I get random, painless muscle spasms quite regularly. I normally have lower blood pressure floating around 120/55. I take lexapro at 10 mg, claritin 24 hour, folonase, concerta( just moved from 27 mg to 36 mg). Just added seroquel at 25 mg and ritalin in the afternoons. I was perscribed albuterol sulfate, ibuprofen 600 mg and zomig nasal as needed.  Cold spells arent new and randomly come and go, normally lasting several hours and spreading along right side from face down. Feet and hands are normally cold, sometimes blotchy purple.  Two weeks ago I had a clean MRI without contrast.  I do not drink, use drugs or smoke.  My appetite has been haywire lately and over a week I lost 16 pounds. Accidentally binging this week when the concerta wears off has gotten me half way back up to old weight."
12,C0009443,Common Cold,"C0003862, C0741585, C0000737, C0027497, C0015672, C0037763, C0085624, C0012833, C0857057, C0018681, C0013404, C0302539","Arthralgia, BODY ACHE, Abdominal Pain, Nausea, Fatigue, Spasm, Burning sensation, Dizziness, blotchy, Headache, Dyspnea, spells (neurological symptom)",https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/11723/migraine-with-strange-array-of-symptoms-causing-worry,Migraine with strange array of symptoms causing worry,"I've been having a very odd migrane today full of countless new symptoms.  Headache on left front side with a crazy visual aura, took zomig, hour later took ibuprofen 600, albuterol sulfate and Ritalin. Cold and hot feeling across skin, mostly on right side, nausea, joint pain, burning pain in abdomen and chest, dizzy, tired and short of breath. Migrating sharp pains across body. Ringing ears. Vision is unnaturally blurry. Chest and stomach symptoms worsen when laying down, head symptoms worsen when standing up. Symptoms quickly come and go except for vision, coldness, nausea and burning, which are constant. Zomig tasted so bad as it eventually dripped my neck that I hacked a few times and a little blood came up.  I have asthma, adhd, insommnia and depression. Two months ago I experienced an overdose on excedrin, clonidine and benadryl and recovered. At the time, I was informed of a potential heart murmur. Lymph nodes have been tender and large for years but one has become hard in the last month. I've had a lot of unexplained bruising on my entire legs that are fresh and unchanged for 3-4 weeks, then disappear without a trace after that period. I occasionally have moments where I loose a couple seconds and get startled. I get random, painless muscle spasms quite regularly. I normally have lower blood pressure floating around 120/55. I take lexapro at 10 mg, claritin 24 hour, folonase, concerta( just moved from 27 mg to 36 mg). Just added seroquel at 25 mg and ritalin in the afternoons. I was perscribed albuterol sulfate, ibuprofen 600 mg and zomig nasal as needed.  Cold spells arent new and randomly come and go, normally lasting several hours and spreading along right side from face down. Feet and hands are normally cold, sometimes blotchy purple.  Two weeks ago I had a clean MRI without contrast.  I do not drink, use drugs or smoke.  My appetite has been haywire lately and over a week I lost 16 pounds. Accidentally binging this week when the concerta wears off has gotten me half way back up to old weight."
