PostNumber,DiseaseID,Disease,SymptomIDs,Symptoms,ThreadLink,ThreadHeading,ThreadContent
3,C0009450,Communicable Diseases,"C0015230, C0013604","Exanthema, Edema",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42602/nicked-shaft-while-trimming-itchy-fluid-retention,"Nicked shaft while trimming, itchy fluid retention","A few days ago I was triming my pubic hair with an electric trimmer using a guard. As I trimmed the underside of my shaft, my loose skin guy nicked my the blades in a couple of spots. There was a little blood but not much. Now the areas around where I was nicked are very itchy and swollen, and the area is retaining a lot of fluid which I think is causing the swelling. No problems before shaving, so not concerned about an STD. Could it just be ingrown hairs? Or infection from the cuts? Any at home treatments?"
3,C0010495,Cutis Laxa,"C0015230, C0013604","Exanthema, Edema",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42602/nicked-shaft-while-trimming-itchy-fluid-retention,"Nicked shaft while trimming, itchy fluid retention","A few days ago I was triming my pubic hair with an electric trimmer using a guard. As I trimmed the underside of my shaft, my loose skin guy nicked my the blades in a couple of spots. There was a little blood but not much. Now the areas around where I was nicked are very itchy and swollen, and the area is retaining a lot of fluid which I think is causing the swelling. No problems before shaving, so not concerned about an STD. Could it just be ingrown hairs? Or infection from the cuts? Any at home treatments?"
3,C0549150,Pseudofolliculitis barbae (disorder),"C0015230, C0013604","Exanthema, Edema",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42602/nicked-shaft-while-trimming-itchy-fluid-retention,"Nicked shaft while trimming, itchy fluid retention","A few days ago I was triming my pubic hair with an electric trimmer using a guard. As I trimmed the underside of my shaft, my loose skin guy nicked my the blades in a couple of spots. There was a little blood but not much. Now the areas around where I was nicked are very itchy and swollen, and the area is retaining a lot of fluid which I think is causing the swelling. No problems before shaving, so not concerned about an STD. Could it just be ingrown hairs? Or infection from the cuts? Any at home treatments?"
4,C0036916,Sexually Transmitted Diseases,"C0085624, C0013604, C0030193, C0234233","Burning sensation, Edema, Pain, Sore to touch",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42806/weird-sensation-in-testicles,Weird sensation in testicles,I'm 15 and yesterday when I was on the bed watching videos I touched my testicles and I suddenly started to sweat and felt like a intense orgasm (doesn't feel like a pain) for like 30 seconds . After that I was really scared to I slightly put pressure on it again and it happened again . I was wearing my loose trouser and a undergarments. I don't have any pain and in the morning I haven't touched since so I don't know if it's still there. I did not have any injury or any lumps or swelling ( but I have noticed a very slight urine colour change to more yellowish but no burning ) I don't think it's a tortion cause people say it has intense pain but I have an Intense orgasm kinda or I think it feels sore I don't how to explain .
5,C0009450,Communicable Diseases,C0085624,Burning sensation,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42936/chlamydia-false-false-,Chlamydia false+/false-,"So I (male) had unprotected sex. I had burning when urination about a week later it lasted for a week till I got tested. I was treated for and tested positive for chlamydia. I informed the woman I had sex with. She told me she had just been tested before we had sex and she came up std free. She has gotten tested two more times since then, and both times she came up clean. Is it more likely I had some other infection and a false positive test, or more likely that she got three false negatives. I had not had sex with anyone else in over a year, and I don't do drugs, but could it be possible that I got it from a public restroom. I always thought that was a myth/lie."
6,C0036916,Sexually Transmitted Diseases,"C0030193, C2926602","Pain, Discharge, body substance",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42911/vaginal-white-bumps,vaginal white bumps?,"my boyfriend noticed this one white bump by my vaginal opening last week, but now there’s multiple of them. there’s no discharge, it’s actually localized to my skin. there’s no odor, pain, or itchiness. i’m making a doctors appt but i’m scared.."
7,C0019348,Herpes Simplex Infections,"C0497481, C0004604, C0683369, C2364135","Pain in penis, Back Pain, Clouded consciousness, Discomfort",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42990/hsv-test-results-confusing,HSV Test Results Confusing,"I've had some confusing symptoms and corresponding results I'm hoping to get some insight on. I began to develop symptoms around 3 days after potential exposure, which consisted of tiny red bumps on my scrotum. I went to a dermatologist who did a viral culture, but it came back negative (the bumps were already scabbed over however so I wasn't surprised). Then about 10-12 days after symptoms appeared I had blood drawn, and was negative on both the IgM and IgG tests. My doctor is very confused as he would have expected IgM to be positive if this was HSV.  Since that initial ""outbreak"" I've had 3 recurrences, about once per week, although the symptoms changed. I no longer get the red bumps, but I do experience pain in the back of my legs as well as strange pains/discomfort feelings in my penis, scrotum, and groin.  If this is not HSV, does anyone have any ideas what it could be?"
9,C0036916,Sexually Transmitted Diseases,"C0011991, C2129214, C0596601, C0018681","Diarrhea, Loose stool, gastrointestinal gas, Headache",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/42893/headaches-diarrhea,"Headaches, diarrhea","Are there any Stds that can cause lots of gas and over 10 days of diarrhea. The diarrhea started 3 days after exposure. Got tested for HIV and its come up negative so far. (P24 test and antigen test on day 17 post exposure). also having slight headaches. What do you guys think this may be? PS the diarrhea has mainly been just really loose stools and alot of gas, once, maybe twice a day."
10,C0021400,Influenza,"C0745411, C2926602","irregular bleeding, Discharge, body substance",https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/45013/irregular-bleeding,Irregular Bleeding,"Hello, I am 16 and I am having some irregular bleeding. I’m supposed to be ovulating now according to clue but instead I appear to be having quite a bit of blood in my discharge, although not at all as much as my normal period. I’m concerned it might be stress related because my mom died a few days ago. I really don’t want to be worrying my dad about this already. Also, I am just getting over the flu. Thanks."
15,C0270724,Infantile Neuroaxonal Dystrophy,C0028084,Nightmares,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/40527/bad-penile-implant,Bad penile implant,"On the 22nd of January 2018 I had the AMS 700 implanted. Nearly a month later (and since I started inflating the implant on February 7) I have noted that 1) neither cylinder reaches all the way to the head of my penis and 2) the left cylinder is easily 3/8 of an inch shorter than the right. The result: depending on my body position when I inflate the implant: 1) The tip of my penis points to the left, at 90 degree angle. 2) The tip of my penis points straight up, at a 90 degree angle. 3) The tip of my penis points straight ahead but has no structure and flops around. To say I am not happy is an under statement. Bad enough that I lost nearly 5"" in length and 1"" in girth. My wife won't touch this bent up robotic nightmare that I am stuck with, she actually gets upset seeing me pump it up. I have my one month follow up next week. The only question I have for the doctor is what is his plan to unscrew his screw up (make no mistake-this is not the implant's fault, it works. The ""expert"" did this to me.). I recognize that I am angry and anger clouds things-what else should I be asking (other than if his malpractice insurance is current)? I am going to have this fixed. Just want to make sure I don't miss anything..."
